year:1880,year:1900,year:1910,year:1920,year:1930,year:1940,year:1950,year:1960,year:1970,year:1980,year:1990,year:2000,age,marst,sex,people
1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,3533662
1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3421597
1,0,0,0,0,0,0,0,0,0,0,0,5,6,1,3297503
1,0,0,0,0,0,0,0,0,0,0,0,5,6,2,3179142
1,0,0,0,0,0,0,0,0,0,0,0,10,1,2,1997
1,0,0,0,0,0,0,0,0,0,0,0,10,2,1,599
1,0,0,0,0,0,0,0,0,0,0,0,10,2,2,1596
1,0,0,0,0,0,0,0,0,0,0,0,10,5,1,200
1,0,0,0,0,0,0,0,0,0,0,0,10,5,2,199
1,0,0,0,0,0,0,0,0,0,0,0,10,6,1,2911125
1,0,0,0,0,0,0,0,0,0,0,0,10,6,2,2809758
1,0,0,0,0,0,0,0,0,0,0,0,15,1,1,20747
1,0,0,0,0,0,0,0,0,0,0,0,15,1,2,277380
1,0,0,0,0,0,0,0,0,0,0,0,15,2,1,5583
1,0,0,0,0,0,0,0,0,0,0,0,15,2,2,18657
1,0,0,0,0,0,0,0,0,0,0,0,15,4,1,200
1,0,0,0,0,0,0,0,0,0,0,0,15,4,2,1892
1,0,0,0,0,0,0,0,0,0,0,0,15,5,1,2498
1,0,0,0,0,0,0,0,0,0,0,0,15,5,2,5989
1,0,0,0,0,0,0,0,0,0,0,0,15,6,1,2428706
1,0,0,0,0,0,0,0,0,0,0,0,15,6,2,2223900
1,0,0,0,0,0,0,0,0,0,0,0,20,1,1,525726
1,0,0,0,0,0,0,0,0,0,0,0,20,1,2,1197869
1,0,0,0,0,0,0,0,0,0,0,0,20,2,1,40394
1,0,0,0,0,0,0,0,0,0,0,0,20,2,2,55146
1,0,0,0,0,0,0,0,0,0,0,0,20,4,1,1396
1,0,0,0,0,0,0,0,0,0,0,0,20,4,2,7482
1,0,0,0,0,0,0,0,0,0,0,0,20,5,1,11863
1,0,0,0,0,0,0,0,0,0,0,0,20,5,2,36706
1,0,0,0,0,0,0,0,0,0,0,0,20,6,1,1968401
1,0,0,0,0,0,0,0,0,0,0,0,20,6,2,1215600
1,0,0,0,0,0,0,0,0,0,0,0,25,1,1,1159298
1,0,0,0,0,0,0,0,0,0,0,0,25,1,2,1392687
1,0,0,0,0,0,0,0,0,0,0,0,25,2,1,60650
1,0,0,0,0,0,0,0,0,0,0,0,25,2,2,51579
1,0,0,0,0,0,0,0,0,0,0,0,25,4,1,4089
1,0,0,0,0,0,0,0,0,0,0,0,25,4,2,10567
1,0,0,0,0,0,0,0,0,0,0,0,25,5,1,25135
1,0,0,0,0,0,0,0,0,0,0,0,25,5,2,60658
1,0,0,0,0,0,0,0,0,0,0,0,25,6,1,870221
1,0,0,0,0,0,0,0,0,0,0,0,25,6,2,458750
1,0,0,0,0,0,0,0,0,0,0,0,30,1,1,1236119
1,0,0,0,0,0,0,0,0,0,0,0,30,1,2,1238326
1,0,0,0,0,0,0,0,0,0,0,0,30,2,1,55962
1,0,0,0,0,0,0,0,0,0,0,0,30,2,2,37894
1,0,0,0,0,0,0,0,0,0,0,0,30,4,1,3892
1,0,0,0,0,0,0,0,0,0,0,0,30,4,2,8084
1,0,0,0,0,0,0,0,0,0,0,0,30,5,1,37003
1,0,0,0,0,0,0,0,0,0,0,0,30,5,2,83777
1,0,0,0,0,0,0,0,0,0,0,0,30,6,1,416131
1,0,0,0,0,0,0,0,0,0,0,0,30,6,2,228691
1,0,0,0,0,0,0,0,0,0,0,0,35,1,1,1213563
1,0,0,0,0,0,0,0,0,0,0,0,35,1,2,1160080
1,0,0,0,0,0,0,0,0,0,0,0,35,2,1,48604
1,0,0,0,0,0,0,0,0,0,0,0,35,2,2,33202
1,0,0,0,0,0,0,0,0,0,0,0,35,4,1,4992
1,0,0,0,0,0,0,0,0,0,0,0,35,4,2,8378
1,0,0,0,0,0,0,0,0,0,0,0,35,5,1,44500
1,0,0,0,0,0,0,0,0,0,0,0,35,5,2,121783
1,0,0,0,0,0,0,0,0,0,0,0,35,6,1,229113
1,0,0,0,0,0,0,0,0,0,0,0,35,6,2,160274
1,0,0,0,0,0,0,0,0,0,0,0,40,1,1,997154
1,0,0,0,0,0,0,0,0,0,0,0,40,1,2,938721
1,0,0,0,0,0,0,0,0,0,0,0,40,2,1,45009
1,0,0,0,0,0,0,0,0,0,0,0,40,2,2,29506
1,0,0,0,0,0,0,0,0,0,0,0,40,4,1,2793
1,0,0,0,0,0,0,0,0,0,0,0,40,4,2,6182
1,0,0,0,0,0,0,0,0,0,0,0,40,5,1,48463
1,0,0,0,0,0,0,0,0,0,0,0,40,5,2,154399
1,0,0,0,0,0,0,0,0,0,0,0,40,6,1,143928
1,0,0,0,0,0,0,0,0,0,0,0,40,6,2,110627
1,0,0,0,0,0,0,0,0,0,0,0,45,1,1,883724
1,0,0,0,0,0,0,0,0,0,0,0,45,1,2,731892
1,0,0,0,0,0,0,0,0,0,0,0,45,2,1,34324
1,0,0,0,0,0,0,0,0,0,0,0,45,2,2,27831
1,0,0,0,0,0,0,0,0,0,0,0,45,4,1,4288
1,0,0,0,0,0,0,0,0,0,0,0,45,4,2,3690
1,0,0,0,0,0,0,0,0,0,0,0,45,5,1,50965
1,0,0,0,0,0,0,0,0,0,0,0,45,5,2,165781
1,0,0,0,0,0,0,0,0,0,0,0,45,6,1,92672
1,0,0,0,0,0,0,0,0,0,0,0,45,6,2,74517
1,0,0,0,0,0,0,0,0,0,0,0,50,1,1,792796
1,0,0,0,0,0,0,0,0,0,0,0,50,1,2,576825
1,0,0,0,0,0,0,0,0,0,0,0,50,2,1,32025
1,0,0,0,0,0,0,0,0,0,0,0,50,2,2,20741
1,0,0,0,0,0,0,0,0,0,0,0,50,4,1,3394
1,0,0,0,0,0,0,0,0,0,0,0,50,4,2,4783
1,0,0,0,0,0,0,0,0,0,0,0,50,5,1,64937
1,0,0,0,0,0,0,0,0,0,0,0,50,5,2,205310
1,0,0,0,0,0,0,0,0,0,0,0,50,6,1,71332
1,0,0,0,0,0,0,0,0,0,0,0,50,6,2,55353
1,0,0,0,0,0,0,0,0,0,0,0,55,1,1,566433
1,0,0,0,0,0,0,0,0,0,0,0,55,1,2,371421
1,0,0,0,0,0,0,0,0,0,0,0,55,2,1,18250
1,0,0,0,0,0,0,0,0,0,0,0,55,2,2,15060
1,0,0,0,0,0,0,0,0,0,0,0,55,4,1,2095
1,0,0,0,0,0,0,0,0,0,0,0,55,4,2,3090
1,0,0,0,0,0,0,0,0,0,0,0,55,5,1,52966
1,0,0,0,0,0,0,0,0,0,0,0,55,5,2,171760
1,0,0,0,0,0,0,0,0,0,0,0,55,6,1,39403
1,0,0,0,0,0,0,0,0,0,0,0,55,6,2,33512
1,0,0,0,0,0,0,0,0,0,0,0,60,1,1,462498
1,0,0,0,0,0,0,0,0,0,0,0,60,1,2,285866
1,0,0,0,0,0,0,0,0,0,0,0,60,2,1,17259
1,0,0,0,0,0,0,0,0,0,0,0,60,2,2,11170
1,0,0,0,0,0,0,0,0,0,0,0,60,4,1,2293
1,0,0,0,0,0,0,0,0,0,0,0,60,4,2,1496
1,0,0,0,0,0,0,0,0,0,0,0,60,5,1,64228
1,0,0,0,0,0,0,0,0,0,0,0,60,5,2,195104
1,0,0,0,0,0,0,0,0,0,0,0,60,6,1,34020
1,0,0,0,0,0,0,0,0,0,0,0,60,6,2,33320
1,0,0,0,0,0,0,0,0,0,0,0,65,1,1,282013
1,0,0,0,0,0,0,0,0,0,0,0,65,1,2,154905
1,0,0,0,0,0,0,0,0,0,0,0,65,2,1,9478
1,0,0,0,0,0,0,0,0,0,0,0,65,2,2,7174
1,0,0,0,0,0,0,0,0,0,0,0,65,4,1,1895
1,0,0,0,0,0,0,0,0,0,0,0,65,4,2,1896
1,0,0,0,0,0,0,0,0,0,0,0,65,5,1,55070
1,0,0,0,0,0,0,0,0,0,0,0,65,5,2,160882
1,0,0,0,0,0,0,0,0,0,0,0,65,6,1,20942
1,0,0,0,0,0,0,0,0,0,0,0,65,6,2,21446
1,0,0,0,0,0,0,0,0,0,0,0,70,1,1,182101
1,0,0,0,0,0,0,0,0,0,0,0,70,1,2,78187
1,0,0,0,0,0,0,0,0,0,0,0,70,2,1,8978
1,0,0,0,0,0,0,0,0,0,0,0,70,2,2,3891
1,0,0,0,0,0,0,0,0,0,0,0,70,4,1,800
1,0,0,0,0,0,0,0,0,0,0,0,70,4,2,797
1,0,0,0,0,0,0,0,0,0,0,0,70,5,1,50270
1,0,0,0,0,0,0,0,0,0,0,0,70,5,2,151130
1,0,0,0,0,0,0,0,0,0,0,0,70,6,1,13273
1,0,0,0,0,0,0,0,0,0,0,0,70,6,2,17855
1,0,0,0,0,0,0,0,0,0,0,0,75,1,1,87761
1,0,0,0,0,0,0,0,0,0,0,0,75,1,2,35491
