year:1880,year:1900,year:1910,year:1920,year:1930,year:1940,year:1950,year:1960,year:1970,year:1980,year:1990,year:2000,age,marst,sex,people
1,0,0,0,0,0,0,0,0,0,0,0,75,2,1,4683
1,0,0,0,0,0,0,0,0,0,0,0,75,2,2,2295
1,0,0,0,0,0,0,0,0,0,0,0,75,4,1,200
1,0,0,0,0,0,0,0,0,0,0,0,75,4,2,299
1,0,0,0,0,0,0,0,0,0,0,0,75,5,1,41300
1,0,0,0,0,0,0,0,0,0,0,0,75,5,2,97051
1,0,0,0,0,0,0,0,0,0,0,0,75,6,1,7684
1,0,0,0,0,0,0,0,0,0,0,0,75,6,2,8377
1,0,0,0,0,0,0,0,0,0,0,0,80,1,1,34518
1,0,0,0,0,0,0,0,0,0,0,0,80,1,2,11870
1,0,0,0,0,0,0,0,0,0,0,0,80,2,1,2292
1,0,0,0,0,0,0,0,0,0,0,0,80,2,2,697
1,0,0,0,0,0,0,0,0,0,0,0,80,4,1,99
1,0,0,0,0,0,0,0,0,0,0,0,80,5,1,26628
1,0,0,0,0,0,0,0,0,0,0,0,80,5,2,57346
1,0,0,0,0,0,0,0,0,0,0,0,80,6,1,3989
1,0,0,0,0,0,0,0,0,0,0,0,80,6,2,7377
1,0,0,0,0,0,0,0,0,0,0,0,85,1,1,8671
1,0,0,0,0,0,0,0,0,0,0,0,85,1,2,2995
1,0,0,0,0,0,0,0,0,0,0,0,85,2,1,498
1,0,0,0,0,0,0,0,0,0,0,0,85,2,2,399
1,0,0,0,0,0,0,0,0,0,0,0,85,5,1,11772
1,0,0,0,0,0,0,0,0,0,0,0,85,5,2,26137
1,0,0,0,0,0,0,0,0,0,0,0,85,6,1,1496
1,0,0,0,0,0,0,0,0,0,0,0,85,6,2,1696
1,0,0,0,0,0,0,0,0,0,0,0,90,1,1,3689
1,0,0,0,0,0,0,0,0,0,0,0,90,1,2,399
1,0,0,0,0,0,0,0,0,0,0,0,90,2,1,398
1,0,0,0,0,0,0,0,0,0,0,0,90,2,2,100
1,0,0,0,0,0,0,0,0,0,0,0,90,4,1,100
1,0,0,0,0,0,0,0,0,0,0,0,90,5,1,5387
1,0,0,0,0,0,0,0,0,0,0,0,90,5,2,13255
1,0,0,0,0,0,0,0,0,0,0,0,90,6,1,698
1,0,0,0,0,0,0,0,0,0,0,0,90,6,2,1697
0,1,0,0,0,0,0,0,0,0,0,0,0,6,1,4619544
0,1,0,0,0,0,0,0,0,0,0,0,0,6,2,4589196
0,1,0,0,0,0,0,0,0,0,0,0,5,6,1,4465783
0,1,0,0,0,0,0,0,0,0,0,0,5,6,2,4390483
0,1,0,0,0,0,0,0,0,0,0,0,10,1,2,3722
0,1,0,0,0,0,0,0,0,0,0,0,10,2,1,502
0,1,0,0,0,0,0,0,0,0,0,0,10,2,2,1306
0,1,0,0,0,0,0,0,0,0,0,0,10,5,1,201
0,1,0,0,0,0,0,0,0,0,0,0,10,6,1,4056966
0,1,0,0,0,0,0,0,0,0,0,0,10,6,2,3996721
0,1,0,0,0,0,0,0,0,0,0,0,15,1,1,32572
0,1,0,0,0,0,0,0,0,0,0,0,15,1,2,396264
0,1,0,0,0,0,0,0,0,0,0,0,15,2,1,5632
0,1,0,0,0,0,0,0,0,0,0,0,15,2,2,25134
0,1,0,0,0,0,0,0,0,0,0,0,15,4,1,301
0,1,0,0,0,0,0,0,0,0,0,0,15,4,2,1809
0,1,0,0,0,0,0,0,0,0,0,0,15,5,1,1109
0,1,0,0,0,0,0,0,0,0,0,0,15,5,2,10352
0,1,0,0,0,0,0,0,0,0,0,0,15,6,1,3735232
0,1,0,0,0,0,0,0,0,0,0,0,15,6,2,3368184
0,1,0,0,0,0,0,0,0,0,0,0,20,1,1,739365
0,1,0,0,0,0,0,0,0,0,0,0,20,1,2,1675865
0,1,0,0,0,0,0,0,0,0,0,0,20,2,1,46941
0,1,0,0,0,0,0,0,0,0,0,0,20,2,2,83310
0,1,0,0,0,0,0,0,0,0,0,0,20,4,1,4122
0,1,0,0,0,0,0,0,0,0,0,0,20,4,2,11560
0,1,0,0,0,0,0,0,0,0,0,0,20,5,1,16585
0,1,0,0,0,0,0,0,0,0,0,0,20,5,2,52652
0,1,0,0,0,0,0,0,0,0,0,0,20,6,1,2887025
0,1,0,0,0,0,0,0,0,0,0,0,20,6,2,1927674
0,1,0,0,0,0,0,0,0,0,0,0,25,1,1,1696542
0,1,0,0,0,0,0,0,0,0,0,0,25,1,2,2150869
0,1,0,0,0,0,0,0,0,0,0,0,25,2,1,89966
0,1,0,0,0,0,0,0,0,0,0,0,25,2,2,82826
0,1,0,0,0,0,0,0,0,0,0,0,25,4,1,8836
0,1,0,0,0,0,0,0,0,0,0,0,25,4,2,17388
0,1,0,0,0,0,0,0,0,0,0,0,25,5,1,40097
0,1,0,0,0,0,0,0,0,0,0,0,25,5,2,94141
0,1,0,0,0,0,0,0,0,0,0,0,25,6,1,1553839
0,1,0,0,0,0,0,0,0,0,0,0,25,6,2,890832
0,1,0,0,0,0,0,0,0,0,0,0,30,1,1,1929229
0,1,0,0,0,0,0,0,0,0,0,0,30,1,2,2005516
0,1,0,0,0,0,0,0,0,0,0,0,30,2,1,90726
0,1,0,0,0,0,0,0,0,0,0,0,30,2,2,68647
0,1,0,0,0,0,0,0,0,0,0,0,30,4,1,10259
0,1,0,0,0,0,0,0,0,0,0,0,30,4,2,17287
0,1,0,0,0,0,0,0,0,0,0,0,30,5,1,56695
0,1,0,0,0,0,0,0,0,0,0,0,30,5,2,123907
0,1,0,0,0,0,0,0,0,0,0,0,30,6,1,832055
0,1,0,0,0,0,0,0,0,0,0,0,30,6,2,449817
0,1,0,0,0,0,0,0,0,0,0,0,35,1,1,1936263
0,1,0,0,0,0,0,0,0,0,0,0,35,1,2,1805069
0,1,0,0,0,0,0,0,0,0,0,0,35,2,1,96909
0,1,0,0,0,0,0,0,0,0,0,0,35,2,2,64111
0,1,0,0,0,0,0,0,0,0,0,0,35,4,1,9950
0,1,0,0,0,0,0,0,0,0,0,0,35,4,2,13770
0,1,0,0,0,0,0,0,0,0,0,0,35,5,1,80686
0,1,0,0,0,0,0,0,0,0,0,0,35,5,2,169672
0,1,0,0,0,0,0,0,0,0,0,0,35,6,1,510075
0,1,0,0,0,0,0,0,0,0,0,0,35,6,2,295115
0,1,0,0,0,0,0,0,0,0,0,0,40,1,1,1730760
0,1,0,0,0,0,0,0,0,0,0,0,40,1,2,1519459
0,1,0,0,0,0,0,0,0,0,0,0,40,2,1,93977
0,1,0,0,0,0,0,0,0,0,0,0,40,2,2,52343
0,1,0,0,0,0,0,0,0,0,0,0,40,4,1,11546
0,1,0,0,0,0,0,0,0,0,0,0,40,4,2,14779
0,1,0,0,0,0,0,0,0,0,0,0,40,5,1,95083
0,1,0,0,0,0,0,0,0,0,0,0,40,5,2,210858
0,1,0,0,0,0,0,0,0,0,0,0,40,6,1,329704
0,1,0,0,0,0,0,0,0,0,0,0,40,6,2,207548
0,1,0,0,0,0,0,0,0,0,0,0,45,1,1,1458766
0,1,0,0,0,0,0,0,0,0,0,0,45,1,2,1198397
0,1,0,0,0,0,0,0,0,0,0,0,45,2,1,69555
0,1,0,0,0,0,0,0,0,0,0,0,45,2,2,48652
0,1,0,0,0,0,0,0,0,0,0,0,45,4,1,10054
0,1,0,0,0,0,0,0,0,0,0,0,45,4,2,11151
0,1,0,0,0,0,0,0,0,0,0,0,45,5,1,110965
0,1,0,0,0,0,0,0,0,0,0,0,45,5,2,250510
0,1,0,0,0,0,0,0,0,0,0,0,45,6,1,219073
0,1,0,0,0,0,0,0,0,0,0,0,45,6,2,139315
0,1,0,0,0,0,0,0,0,0,0,0,50,1,1,1227604
0,1,0,0,0,0,0,0,0,0,0,0,50,1,2,966949
0,1,0,0,0,0,0,0,0,0,0,0,50,2,1,58112
0,1,0,0,0,0,0,0,0,0,0,0,50,2,2,41610
0,1,0,0,0,0,0,0,0,0,0,0,50,4,1,11045
0,1,0,0,0,0,0,0,0,0,0,0,50,4,2,9348
0,1,0,0,0,0,0,0,0,0,0,0,50,5,1,127847
0,1,0,0,0,0,0,0,0,0,0,0,50,5,2,292357
0,1,0,0,0,0,0,0,0,0,0,0,50,6,1,146430
0,1,0,0,0,0,0,0,0,0,0,0,50,6,2,101717
0,1,0,0,0,0,0,0,0,0,0,0,55,1,1,896182
0,1,0,0,0,0,0,0,0,0,0,0,55,1,2,666505
0,1,0,0,0,0,0,0,0,0,0,0,55,2,1,39602
0,1,0,0,0,0,0,0,0,0,0,0,55,2,2,28549
0,1,0,0,0,0,0,0,0,0,0,0,55,4,1,8147
0,1,0,0,0,0,0,0,0,0,0,0,55,4,2,5629
0,1,0,0,0,0,0,0,0,0,0,0,55,5,1,122901
0,1,0,0,0,0,0,0,0,0,0,0,55,5,2,293004
0,1,0,0,0,0,0,0,0,0,0,0,55,6,1,95076
0,1,0,0,0,0,0,0,0,0,0,0,55,6,2,70945
0,1,0,0,0,0,0,0,0,0,0,0,60,1,1,678793
0,1,0,0,0,0,0,0,0,0,0,0,60,1,2,462396
0,1,0,0,0,0,0,0,0,0,0,0,60,2,1,33174
0,1,0,0,0,0,0,0,0,0,0,0,60,2,2,24326
0,1,0,0,0,0,0,0,0,0,0,0,60,4,1,5425
0,1,0,0,0,0,0,0,0,0,0,0,60,4,2,3017
0,1,0,0,0,0,0,0,0,0,0,0,60,5,1,128847
0,1,0,0,0,0,0,0,0,0,0,0,60,5,2,339786
0,1,0,0,0,0,0,0,0,0,0,0,60,6,1,70332
0,1,0,0,0,0,0,0,0,0,0,0,60,6,2,57983
0,1,0,0,0,0,0,0,0,0,0,0,65,1,1,480925
0,1,0,0,0,0,0,0,0,0,0,0,65,1,2,274764
0,1,0,0,0,0,0,0,0,0,0,0,65,2,1,20403
0,1,0,0,0,0,0,0,0,0,0,0,65,2,2,16194
0,1,0,0,0,0,0,0,0,0,0,0,65,4,1,2509
0,1,0,0,0,0,0,0,0,0,0,0,65,4,2,2110
0,1,0,0,0,0,0,0,0,0,0,0,65,5,1,125719
0,1,0,0,0,0,0,0,0,0,0,0,65,5,2,312661
0,1,0,0,0,0,0,0,0,0,0,0,65,6,1,43107
0,1,0,0,0,0,0,0,0,0,0,0,65,6,2,34483
0,1,0,0,0,0,0,0,0,0,0,0,70,1,1,298783
0,1,0,0,0,0,0,0,0,0,0,0,70,1,2,136163
0,1,0,0,0,0,0,0,0,0,0,0,70,2,1,13166
0,1,0,0,0,0,0,0,0,0,0,0,70,2,2,10144
0,1,0,0,0,0,0,0,0,0,0,0,70,4,1,2310
0,1,0,0,0,0,0,0,0,0,0,0,70,4,2,904
0,1,0,0,0,0,0,0,0,0,0,0,70,5,1,115663
0,1,0,0,0,0,0,0,0,0,0,0,70,5,2,266985
0,1,0,0,0,0,0,0,0,0,0,0,70,6,1,24825
0,1,0,0,0,0,0,0,0,0,0,0,70,6,2,25811
0,1,0,0,0,0,0,0,0,0,0,0,75,1,1,154368
0,1,0,0,0,0,0,0,0,0,0,0,75,1,2,58301
0,1,0,0,0,0,0,0,0,0,0,0,75,2,1,8949
0,1,0,0,0,0,0,0,0,0,0,0,75,2,2,5428
0,1,0,0,0,0,0,0,0,0,0,0,75,4,1,1302
0,1,0,0,0,0,0,0,0,0,0,0,75,4,2,602
0,1,0,0,0,0,0,0,0,0,0,0,75,5,1,86713
0,1,0,0,0,0,0,0,0,0,0,0,75,5,2,184056
0,1,0,0,0,0,0,0,0,0,0,0,75,6,1,16879
0,1,0,0,0,0,0,0,0,0,0,0,75,6,2,17492
0,1,0,0,0,0,0,0,0,0,0,0,80,1,1,59785
0,1,0,0,0,0,0,0,0,0,0,0,80,1,2,17381
0,1,0,0,0,0,0,0,0,0,0,0,80,2,1,4726
0,1,0,0,0,0,0,0,0,0,0,0,80,2,2,2109
0,1,0,0,0,0,0,0,0,0,0,0,80,4,1,401
0,1,0,0,0,0,0,0,0,0,0,0,80,5,1,56691
0,1,0,0,0,0,0,0,0,0,0,0,80,5,2,104721
0,1,0,0,0,0,0,0,0,0,0,0,80,6,1,5832
0,1,0,0,0,0,0,0,0,0,0,0,80,6,2,8238
0,1,0,0,0,0,0,0,0,0,0,0,85,1,1,16983
0,1,0,0,0,0,0,0,0,0,0,0,85,1,2,3414
0,1,0,0,0,0,0,0,0,0,0,0,85,2,1,1307
0,1,0,0,0,0,0,0,0,0,0,0,85,2,2,402
0,1,0,0,0,0,0,0,0,0,0,0,85,4,1,100
0,1,0,0,0,0,0,0,0,0,0,0,85,4,2,201
0,1,0,0,0,0,0,0,0,0,0,0,85,5,1,23612
0,1,0,0,0,0,0,0,0,0,0,0,85,5,2,41277
0,1,0,0,0,0,0,0,0,0,0,0,85,6,1,2006
0,1,0,0,0,0,0,0,0,0,0,0,85,6,2,3320
0,1,0,0,0,0,0,0,0,0,0,0,90,1,1,5218
0,1,0,0,0,0,0,0,0,0,0,0,90,1,2,1407
0,1,0,0,0,0,0,0,0,0,0,0,90,2,1,603
0,1,0,0,0,0,0,0,0,0,0,0,90,2,2,504
0,1,0,0,0,0,0,0,0,0,0,0,90,5,1,8338
0,1,0,0,0,0,0,0,0,0,0,0,90,5,2,16574
0,1,0,0,0,0,0,0,0,0,0,0,90,6,1,1005
0,1,0,0,0,0,0,0,0,0,0,0,90,6,2,1608
0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,5296823
0,0,1,0,0,0,0,0,0,0,0,0,0,6,2,5287477
0,0,1,0,0,0,0,0,0,0,0,0,5,6,1,4991803
0,0,1,0,0,0,0,0,0,0,0,0,5,6,2,4866139
0,0,1,0,0,0,0,0,0,0,0,0,10,1,1,252
0,0,1,0,0,0,0,0,0,0,0,0,10,1,2,756
0,0,1,0,0,0,0,0,0,0,0,0,10,2,1,503
0,0,1,0,0,0,0,0,0,0,0,0,10,2,2,503
0,0,1,0,0,0,0,0,0,0,0,0,10,6,1,4649992
0,0,1,0,0,0,0,0,0,0,0,0,10,6,2,4470628
0,0,1,0,0,0,0,0,0,0,0,0,15,1,1,41807
0,0,1,0,0,0,0,0,0,0,0,0,15,1,2,509067
0,0,1,0,0,0,0,0,0,0,0,0,15,2,1,7557
0,0,1,0,0,0,0,0,0,0,0,0,15,2,2,32492
0,0,1,0,0,0,0,0,0,0,0,0,15,4,1,756
0,0,1,0,0,0,0,0,0,0,0,0,15,4,2,3527
0,0,1,0,0,0,0,0,0,0,0,0,15,5,1,756
0,0,1,0,0,0,0,0,0,0,0,0,15,5,2,10579
0,0,1,0,0,0,0,0,0,0,0,0,15,6,1,4515278
0,0,1,0,0,0,0,0,0,0,0,0,15,6,2,4036604
0,0,1,0,0,0,0,0,0,0,0,0,20,1,1,1024956
0,0,1,0,0,0,0,0,0,0,0,0,20,1,2,2083156
0,0,1,0,0,0,0,0,0,0,0,0,20,2,1,76826
0,0,1,0,0,0,0,0,0,0,0,0,20,2,2,101511
0,0,1,0,0,0,0,0,0,0,0,0,20,4,1,5541
0,0,1,0,0,0,0,0,0,0,0,0,20,4,2,25194
0,0,1,0,0,0,0,0,0,0,0,0,20,5,1,13853
0,0,1,0,0,0,0,0,0,0,0,0,20,5,2,55668
0,0,1,0,0,0,0,0,0,0,0,0,20,6,1,3516456
0,0,1,0,0,0,0,0,0,0,0,0,20,6,2,2182154
0,0,1,0,0,0,0,0,0,0,0,0,25,1,1,2170316
0,0,1,0,0,0,0,0,0,0,0,0,25,1,2,2722434
0,0,1,0,0,0,0,0,0,0,0,0,25,2,1,166747
0,0,1,0,0,0,0,0,0,0,0,0,25,2,2,109071
0,0,1,0,0,0,0,0,0,0,0,0,25,4,1,14862
0,0,1,0,0,0,0,0,0,0,0,0,25,4,2,30734
0,0,1,0,0,0,0,0,0,0,0,0,25,5,1,46849
0,0,1,0,0,0,0,0,0,0,0,0,25,5,2,110592
0,0,1,0,0,0,0,0,0,0,0,0,25,6,1,1858981
0,0,1,0,0,0,0,0,0,0,0,0,25,6,2,973322
0,0,1,0,0,0,0,0,0,0,0,0,30,1,1,2399426
0,0,1,0,0,0,0,0,0,0,0,0,30,1,2,2509056
0,0,1,0,0,0,0,0,0,0,0,0,30,2,1,183881
0,0,1,0,0,0,0,0,0,0,0,0,30,2,2,83130
0,0,1,0,0,0,0,0,0,0,0,0,30,4,1,17128
0,0,1,0,0,0,0,0,0,0,0,0,30,4,2,27458
0,0,1,0,0,0,0,0,0,0,0,0,30,5,1,68009
0,0,1,0,0,0,0,0,0,0,0,0,30,5,2,133003
0,0,1,0,0,0,0,0,0,0,0,0,30,6,1,989681
0,0,1,0,0,0,0,0,0,0,0,0,30,6,2,542573
0,0,1,0,0,0,0,0,0,0,0,0,35,1,1,2461026
0,0,1,0,0,0,0,0,0,0,0,0,35,1,2,2385199
0,0,1,0,0,0,0,0,0,0,0,0,35,2,1,170533
0,0,1,0,0,0,0,0,0,0,0,0,35,2,2,86151
0,0,1,0,0,0,0,0,0,0,0,0,35,4,1,23175
0,0,1,0,0,0,0,0,0,0,0,0,35,4,2,29221
0,0,1,0,0,0,0,0,0,0,0,0,35,5,1,86140
0,0,1,0,0,0,0,0,0,0,0,0,35,5,2,215117
0,0,1,0,0,0,0,0,0,0,0,0,35,6,1,686644
0,0,1,0,0,0,0,0,0,0,0,0,35,6,2,373302
0,0,1,0,0,0,0,0,0,0,0,0,40,1,1,2125720
0,0,1,0,0,0,0,0,0,0,0,0,40,1,2,1883413
0,0,1,0,0,0,0,0,0,0,0,0,40,2,1,151141
0,0,1,0,0,0,0,0,0,0,0,0,40,2,2,65494
0,0,1,0,0,0,0,0,0,0,0,0,40,4,1,18893
0,0,1,0,0,0,0,0,0,0,0,0,40,4,2,22418
0,0,1,0,0,0,0,0,0,0,0,0,40,5,1,116116
0,0,1,0,0,0,0,0,0,0,0,0,40,5,2,228181
0,0,1,0,0,0,0,0,0,0,0,0,40,6,1,448359
0,0,1,0,0,0,0,0,0,0,0,0,40,6,2,271761
0,0,1,0,0,0,0,0,0,0,0,0,45,1,1,1803096
0,0,1,0,0,0,0,0,0,0,0,0,45,1,2,1552185
0,0,1,0,0,0,0,0,0,0,0,0,45,2,1,114865
0,0,1,0,0,0,0,0,0,0,0,0,45,2,2,55421
0,0,1,0,0,0,0,0,0,0,0,0,45,4,1,19146
0,0,1,0,0,0,0,0,0,0,0,0,45,4,2,21918
0,0,1,0,0,0,0,0,0,0,0,0,45,5,1,128709
0,0,1,0,0,0,0,0,0,0,0,0,45,5,2,289938
0,0,1,0,0,0,0,0,0,0,0,0,45,6,1,297985
0,0,1,0,0,0,0,0,0,0,0,0,45,6,2,195468
0,0,1,0,0,0,0,0,0,0,0,0,50,1,1,1630512
0,0,1,0,0,0,0,0,0,0,0,0,50,1,2,1214387
0,0,1,0,0,0,0,0,0,0,0,0,50,2,1,82124
0,0,1,0,0,0,0,0,0,0,0,0,50,2,2,51136
0,0,1,0,0,0,0,0,0,0,0,0,50,4,1,16876
